环指僵硬,无名指僵硬
鼻咽肿物,鼻咽部肿物
鼻翼瘙痒,鼻翼痒
颈发热,颈部发热
颈部及双肩麻木,颈肩部麻木
脸红,脸部潮红
乳头流血,乳头出血
双手指脱皮,手指脱皮
双手指脱屑,手指脱屑
双手指胀痛,手指胀痛
双耳胀痛,双耳闷痛
骶胀痛,腰骶部胀痛
骶部肿物,腰骶部肿物
右鼻腔渗血,右鼻腔出血
右耳胀痛,右耳肿痛
右侧耳肿胀,右耳肿胀
右臀红肿,右臀部红肿
右侧小腿不适感,右小腿不适感
右侧小腿肿痛,右小腿肿痛
右眼黑蒙,右眼黑矇
右足背疼痛,右足背痛
右侧足背疼痛,右足背痛
趾间关节肿胀,足趾关节肿胀
脚趾静息痛,足趾静息痛
趾肿痛,足趾肿痛
左大腿肿胀,左侧大腿肿胀
左耳后肿物,左侧耳后肿物
左侧大腿麻木,左大腿麻木
左膝肿痛,左膝关节肿痛
后背部刺痛,背部刺痛
背部针刺痛,背部刺痛
后背部针刺痛,背部刺痛
背部针扎样痛,背部刺痛
后背刺痛,背部刺痛
鼻痒,鼻部瘙痒
鼻内酸胀,鼻部酸胀
鼻部胀痛,鼻部肿痛
鼻腔粘膜出血,鼻黏膜出血
鼻粘膜出血,鼻黏膜出血
额头疼痛,额部头痛
肩背部大汗,肩背部出汗
指近端指间关节压痛,近端指间关节压痛
5指无力,手指无力
双侧耳红斑,双耳红斑
双侧耳红肿,双耳红肿
双侧耳疼痛,双耳疼痛
5指肿痛,双手指肿痛
四肢肌痛,四肢肌肉痛
膝盖麻木,膝关节麻木
膝麻木,膝关节麻木
骶部红斑,腰骶部红斑
右侧背痛,右背部疼痛
右耳流血,右耳出血
右耳堵闷感,右耳耳闷
右耳闷堵感,右耳耳闷
右耳闷胀,右耳耳闷
右足乏力,右足无力
右脚无力,右足无力
趾肿胀,足趾肿胀
左大腿酸胀,左侧大腿酸胀
左大腿外侧疼痛,左侧大腿外侧疼痛
左肩部不适感,左肩不适感
左侧前臂红斑,左前臂红斑
左眼黑蒙,左眼黑矇
左脚无力,左足无力
背侧麻木,背部麻木
背麻木,背部麻木
后背麻木,背部麻木
后背部压痛,背部压痛
后背压痛,背部压痛
耳出血,耳部出血
耳流血,耳部出血
耳血丝,耳部出血
指间关节胀痛,双手指间关节胀痛
右颈部肿胀,右侧颈部肿胀
右臀疼痛,右侧臀部疼痛
足跟部麻木,足跟麻木
趾间关节肿痛,足趾关节肿痛
趾破溃,足趾破溃
五趾破溃,足趾破溃
趾间破溃,足趾破溃
左背部隐痛,左侧背部隐痛
左后背隐痛,左侧背部隐痛
左大腿红斑,左侧大腿红斑
左大腿肿物,左侧大腿肿物
背出汗,背部出汗
背部大汗,背部出汗
后背出汗,背部出汗
后背大汗,背部出汗
后背盗汗,背部出汗
双侧大腿麻木,大腿麻木
后背及双肩针扎样痛,肩背部刺痛
乳房胀,乳房肿胀
双臀部疼痛,双侧臀部疼痛
双臀疼痛,双侧臀部疼痛
双手背痛,双手背疼痛
手背疼痛,双手背疼痛
指间关节肿胀,双手指间关节肿胀
头刺痛,头部刺痛
右侧大腿麻木,右大腿麻木
右侧耳流脓,右耳流脓
右侧耳肿物,右耳肿物
脚背肿痛,足背肿痛
双足背部肿痛,足背肿痛
左颈部胀痛,左侧颈部肿痛
左侧腰背痛,左侧腰背部疼痛
左腿疼痛,左腿痛
额顶头痛,额顶部头痛
耳肿物,耳部肿物
双膝关节肿痛,双侧膝关节肿痛
双膝关节胀痛,双侧膝关节肿痛
双膝胀痛,双侧膝关节肿痛
双膝肿痛,双侧膝关节肿痛
近端指间关节晨僵,双手近端指间关节晨僵
右膝关节肿痛,右侧膝关节肿痛
右膝关节胀痛,右侧膝关节肿痛
右膝肿痛,右侧膝关节肿痛
右足趾麻木,右脚趾麻木
右侧小腿麻木,右小腿麻木
左侧肩部麻木,左肩麻木
左侧前臂肿物,左前臂肿物
左侧小腿疼痛,左小腿疼痛
背部压迫感,背部压榨感
唇部红斑,口唇红斑
双侧颞叶头痛,双颞侧头痛
近端指间关节疼痛,双手近端指间关节疼痛
指近端指间关节疼痛,双手近端指间关节疼痛
双下肢肌痛,双下肢肌肉痛
左后背部酸痛,左侧背部酸痛
左后背酸痛,左侧背部酸痛
左侧小腿麻木,左小腿麻木
颈部肌肉疼痛,颈部肌肉痛
颈部肌肉肌痛,颈部肌肉痛
指间关节晨僵,双手指间关节晨僵
双侧指间关节晨僵,双手指间关节晨僵
头钝痛,头部钝痛
环指疼痛,无名指疼痛
膝盖酸痛,膝关节酸痛
膝酸痛,膝关节酸痛
双足跖趾关节肿痛,跖趾关节肿痛
双侧跖趾关节肿痛,跖趾关节肿痛
跖趾肿痛,跖趾关节肿痛
左耳堵闷感,左耳耳闷
左耳闷胀感,左耳耳闷
左耳胀满感,左耳耳闷
左足跟痛,左足跟疼痛
背部肌肉痛,背部肌肉疼痛
后背肌肉痛,背部肌肉疼痛
背部肌痛,背部肌肉疼痛
双膝关节酸痛,双侧膝关节酸痛
双膝酸痛,双侧膝关节酸痛
双侧耳流脓,双耳流脓
双上臂肌肉疼痛,双上臂肌肉痛
近端指间关节肿胀,双手近端指间关节肿胀
颜面部麻木,头面部麻木
颜面麻木,头面部麻木
右大腿疼痛,右侧大腿疼痛
右侧颈疼痛,右侧颈部疼痛
右侧颈痛,右侧颈部疼痛
右颈部疼痛,右侧颈部疼痛
右侧颈部胀痛,右颈部肿痛
双足趾疼痛,足趾疼痛
脚趾疼痛,足趾疼痛
趾疼痛,足趾疼痛
左胸部不适感,左侧胸部不适感
鼻肿物,鼻部肿物
外鼻肿物,鼻部肿物
头顶疼痛,顶部头痛
双耳堵闷感,双耳耳闷
双耳闷胀,双耳耳闷
双耳憋胀感,双耳耳闷
双侧耳胀满感,双耳耳闷
双耳胀满感,双耳耳闷
外耳道流液,外耳道溢液
右侧腰背部疼痛不适,右侧腰背痛
左颈部疼痛,左侧颈部疼痛
乳突区疼痛,乳突疼痛
乳突痛,乳突疼痛
头跳痛,头部跳痛
左脚肿胀,左足肿胀
骶髂部疼痛,骶髂关节疼痛
肩背部不适感,肩背不适
唇部肿胀,口唇肿胀
外耳道溢脓,外耳道流脓
外耳溢脓,外耳道流脓
右侧足底麻木,右足底麻木
左大腿疼痛,左侧大腿疼痛
颈部背痛,颈背部疼痛
双手指晨僵,手指晨僵
左耳部流血,左耳出血
双手指疼痛,手指疼痛
5指疼痛,手指疼痛
右侧耳疼痛,右耳疼痛
右耳耳痛,右耳疼痛
外鼻肿胀,鼻部肿胀
右颈部包块,右侧颈部包块
双足背疼痛,足背疼痛
脚背疼痛,足背疼痛
左侧肩背部酸痛,左肩背部酸痛
肩颈痛,肩颈部疼痛
近端指间关节肿痛,双手近端指间关节肿痛
指近端指间关节肿痛,双手近端指间关节肿痛
右侧腰痛不适,右腰部不适
左下肢不适感,左下肢不适
双小腿麻木,小腿麻木
左鼻腔出血,左鼻出血
左脚疼痛,左足疼痛
颈部酸痛不适,颈部酸痛
乳房痛,乳房疼痛
舌头麻木,舌麻木
乳头溢乳,溢乳
指端麻木,双手指端麻木
下肢不适感,下肢不适
双足趾麻木,足趾麻木
双侧脚趾麻木,足趾麻木
脚趾麻木,足趾麻木
趾麻木,足趾麻木
左侧前臂麻木,左前臂麻木
后背胀痛,背部胀痛
后背部胀痛,背部胀痛
耳后胀痛,耳后肿痛
颞骨头痛,颞部头痛
头闷痛,头部闷痛
骶部酸痛,腰骶部酸痛
骶酸痛,腰骶部酸痛
后背部钝痛,背部钝痛
后背钝痛,背部钝痛
咳泡沫样痰,咳泡沫痰
咯泡沫痰,咳泡沫痰
颈部胀满感,颈部肿胀
颈部发胀,颈部肿胀
左颈部肿物,左侧颈部肿物
左颈肿物,左侧颈部肿物
左颈部肿块,左侧颈部肿物
左腰部不适感,左侧腰部不适
左耳耳痛,左耳疼痛
左耳部疼痛,左耳疼痛
双手掌指关节肿胀,掌指关节肿胀
行走踩棉感,行走踩棉花感
双前臂麻木,前臂麻木
右下肢麻痛,右下肢麻木疼痛
肩膀麻木,肩部麻木
肩麻木,肩部麻木
右侧颈肿物,右侧颈部肿物
右颈部肿物,右侧颈部肿物
颈后疼痛,颈后部疼痛
后颈部疼痛,颈后部疼痛
指肿胀,手指肿胀
手指肿,手指肿胀
双手指肿胀,手指肿胀
5指肿胀,手指肿胀
双侧指间关节疼痛,双手指间关节疼痛
指间关节疼痛,双手指间关节疼痛
左臀部疼痛,左侧臀部疼痛
颈部胀痛,颈部肿痛
全身肌肉痛,全身肌肉疼痛
全身肌痛,全身肌肉疼痛
双侧小腿外侧麻木,小腿外侧麻木
左侧胸背痛,左侧胸背部疼痛
右下腹不适感,右下腹不适
腰背酸痛,腰背部酸痛
头枕部疼痛,枕部头痛
黑色稀水样便,排黑色稀便
右侧小腿疼痛,右小腿疼痛
左侧背痛,左侧背部疼痛
左后背痛,左侧背部疼痛
左后背部疼痛,左侧背部疼痛
左乳腺肿物,左侧乳腺肿物
骶尾区疼痛,骶尾部疼痛
唇部麻木,口唇麻木
双足跖趾关节疼痛,跖趾关节疼痛
双侧跖趾关节疼痛,跖趾关节疼痛
排便少,排便减少
双手掌指关节肿痛,掌指关节肿痛
2掌指关节肿痛,掌指关节肿痛
黑影,眼前黑影
双手掌指关节疼痛,掌指关节疼痛
双侧足背麻木,足背麻木
双侧耳听力下降,双耳听力下降
后背部闷痛,背部闷痛
后背闷痛,背部闷痛
痰呈黄白色,咳黄白色痰
双侧耳耳鸣,双耳耳鸣
双耳鸣,双耳耳鸣
腰腿疼痛,腰腿痛
饱胀不适,饱胀
外耳道流血,外耳道出血
尿便障碍,大小便障碍
二便功能障碍,大小便障碍
耳朵发胀,耳胀
耳部发胀,耳胀
足底部麻木,足底麻木
双足底麻木,足底麻木
脚底麻木,足底麻木
后背部隐痛,背部隐痛
背隐痛,背部隐痛
后背隐痛,背部隐痛
颈肩疼痛,颈肩部疼痛
颈肩痛,颈肩部疼痛
淡红色痰液,咳粉红色痰
腰背部不适感,腰背部不适
稀便,大便稀
痰量增多,痰量增加
痰量较前增多,痰量增加
痰液增多,痰量增加
肌肉关节痛,肌肉关节疼痛
关节肌肉痛,肌肉关节疼痛
关节肌疼痛,肌肉关节疼痛
痰中混有鲜血,痰中带鲜血
痰中带鲜红色血,痰中带鲜血
痰中鲜血,痰中带鲜血
肌肉疼痛,肌肉痛
肌痛,肌肉痛
黄涕,流黄涕
脖子僵硬,颈部僵硬
颈僵,颈部僵硬
颈僵硬,颈部僵硬
力量减弱,力弱
双手指尖麻木,指尖麻木
双手指尖麻木感,指尖麻木
左鼻塞,左侧鼻塞
左鼻堵,左侧鼻塞
便不尽感,排便不尽感
肛门便不尽感,排便不尽感
肛门排便不尽感,排便不尽感
右侧耳鸣,右耳耳鸣
后背部酸痛,背部酸痛
后背酸痛,背部酸痛
背酸痛,背部酸痛
背侧酸痛,背部酸痛
口痰中带血,咯血痰
咳血痰,咯血痰
痰中带血,咯血痰
痰中带血丝,咯血痰
白稀痰,白色稀痰
身体不适感,全身不适
右足不适,右足不适感
耳部流脓,耳流脓
黄色不成形便,黄稀便
膝关节胀痛,膝关节肿痛
下腹不适感,下腹部不适
下腹部不适感,下腹部不适
颈紧缩感,颈部紧缩感
胸骨后不适感,胸骨后不适
口唇青紫,口唇发绀
口唇紫绀,口唇发绀
双手指麻木,手指麻木
5指麻木,手指麻木
指麻木,手指麻木
颈肿物,颈部肿物
背部不适感,背部不适
右手麻,右手麻木
排便变细,大便变细
便细,大便变细
脸部麻木,面部麻木
面颊部麻木,面部麻木
脸麻木,面部麻木
痰较粘稠不易咳出,痰粘不易咳出
痰粘稠不易咳出,痰粘不易咳出
脚麻,双足麻木
脚部麻木,双足麻木
脚麻木,双足麻木
双脚麻木,双足麻木
足部麻木,双足麻木
足麻木,双足麻木
膝部疼痛,膝关节疼痛
膝盖疼痛,膝关节疼痛
膝盖痛,膝关节疼痛
膝疼痛,膝关节疼痛
膝痛,膝关节疼痛
左侧下肢麻木,左下肢麻木
左膝部疼痛,左侧膝关节疼痛
左膝关节疼痛,左侧膝关节疼痛
左膝疼痛,左侧膝关节疼痛
双手麻木感,双手麻木
双侧手麻木,双手麻木
手麻,双手麻木
手麻木,双手麻木
手部麻木,双手麻木
右膝关节疼痛,右侧膝关节疼痛
右膝疼痛,右侧膝关节疼痛
白黏痰,白色粘液痰
白粘痰,白色粘液痰
白色粘痰,白色粘液痰
咳白色黏痰,白色粘液痰
咳白色粘液痰,白色粘液痰
气管白色粘痰,白色粘液痰
咳粘白痰,白色粘液痰
口腔白粘痰,白色粘液痰
痰呈白色粘性,白色粘液痰
粘稠白痰,白色粘液痰
骶疼痛,腰骶部疼痛
双侧上肢麻木,双上肢麻木
上肢麻木,双上肢麻木
头部胀痛感,头部胀痛
头胀痛,头部胀痛
鼻脓涕,流脓涕
脓涕,流脓涕
咳腥臭脓痰,脓臭痰
咳脓痰,脓痰
胸部不适感,胸部不适
胃不适感,胃部不适
排稀水样便,水样便
水样大便,水样便
排水样便,水样便
排稀水便,水样便
稀水样便,水样便
左侧上肢麻木,左上肢麻木
右侧耳听力下降,右耳听力下降
双膝关节疼痛,双侧膝关节疼痛
双膝关节痛,双侧膝关节疼痛
双膝疼痛,双侧膝关节疼痛
痰量较少,痰少
少痰,痰少
偶咳少痰,痰少
排便习惯改便,排便习惯改变
手足麻,手足麻木
手脚麻木,手足麻木
手脚发麻,手足麻木
双手足麻木,手足麻木
双手脚麻,手足麻木
腹部不适感,腹部不适
排便不成形,大便不成形
便溏,大便不成形
痰液多,痰多
痰量稍多,痰多
黄色脓痰,黄脓痰
黄色脓性痰,黄脓痰
咳黄色脓痰,黄脓痰
咳黄色脓性痰,黄脓痰
涕血,涕中带血
鼻腔血丝,涕中带血
鼻涕中带血,涕中带血
鼻血丝,涕中带血
双下肢麻木感,双下肢麻木
下肢麻木,双下肢麻木
双下肢感觉麻木,双下肢麻木
双侧下肢麻木,双下肢麻木
耳闷堵感,耳闷
耳部闷胀,耳闷
耳堵闷感,耳闷
耳部堵闷感,耳闷
行走受限,行走困难
行走不便,行走困难
腰不适感,腰部不适感
便干燥,大便干燥
大便干结,大便干燥
大便干,大便干燥
咳黏痰,黏痰
痰液粘稠,黏痰
痰粘,黏痰
痰粘稠,黏痰
咽部黏痰,黏痰
咽部痰粘,黏痰
咽部不适感,咽部不适
咽喉部不适感,咽部不适
流清鼻涕,流清涕
清涕,流清涕
鼻腔清涕,流清涕
四肢发麻,四肢麻木
阵咳,阵发性咳嗽
耳疼痛,耳痛
耳朵疼痛,耳痛
耳部疼痛,耳痛
心前区不适感,心前区不适
腰背痛,腰背部疼痛
腰背疼痛,腰背部疼痛
咽部咽干,咽干
咳黄痰,黄痰
咯黄痰,黄痰
里急后重感,里急后重
便中带血,血便
肛门便血,血便
大便带血,血便
鲜血便,血便
便血,血便
头部脱发,脱发
尿便失禁,大小便失禁
二便失禁,大小便失禁
大、小便失禁,大小便失禁
便失禁,大小便失禁
排便失禁,大小便失禁
片状牙齿脱落,牙齿片状脱落
鼻堵,鼻塞
鼻腔鼻塞,鼻塞
双侧鼻鼻堵,鼻塞
双侧鼻鼻塞,鼻塞
双侧鼻堵,鼻塞
鼻腔通气不畅,鼻塞
胃部反酸,反酸
食管反酸,反酸
胸骨后反酸,反酸
上腹反酸,反酸
上腹部反酸,反酸
剑突下反酸,反酸
返酸,反酸
泛酸,反酸
腹胀不适,腹胀
腹胀感,腹胀
腹胀纳差,腹胀
咯痰,咳痰
口痰,咳痰
痰,咳痰
咽部痰,咳痰
咽部有痰,咳痰
咽喉部痰,咳痰
咽喉部有痰,咳痰
有痰,咳痰
喉部痰,咳痰
喉痰,咳痰
白痰,咳白痰
咯白痰,咳白痰
口痰为白色,咳白痰
口角白痰,咳白痰
痰为白色,咳白痰
背痛,背部疼痛
背部疼痛不适,背部疼痛
后背疼痛,背部疼痛
后背部疼痛,背部疼痛
后背痛,背部疼痛
背疼痛,背部疼痛
背侧疼痛,背部疼痛
后背痛疼痛,背部疼痛
鼻衄,鼻出血
鼻部出血,鼻出血
鼻部流血,鼻出血
鼻孔出血,鼻出血
鼻孔渗血,鼻出血
鼻内出血,鼻出血
鼻腔出血,鼻出血
鼻腔流血,鼻出血
鼻腔渗血,鼻出血
憋喘,喘憋
不适感,不适
打嗝,呃逆
大便便秘,便秘
大汗,大汗淋漓
盗汗明显,盗汗
发烧,发热
放散痛,放射痛
放射性疼痛,放射痛
放射至背部,放射至后背部
放射至后背,放射至后背部
腹疼痛,腹部疼痛
腹痛,腹部疼痛
哽噎,哽噎感
关节痛,关节疼痛
寒颤,寒战
黒朦,黑曚
黒曚,黑曚
黒矇,黑曚
黑朦,黑曚
黑矇,黑曚
黑蒙,黑曚
两眼黑曚,黑曚
双眼黑蒙,黑曚
双眼黑曚,黑曚
双眼黑朦,黑曚
双眼黑矇,黑曚
视物黑矇,黑曚
视物黑曚,黑曚
黑粪,黑便
大便发黑,黑便
大便颜色发黑,黑便
后背不适感,后背部不适
后背不适,后背部不适
黄粘痰,黄色粘痰
咳黄色粘痰,黄色粘痰
昏迷,晕厥
昏厥,晕厥
晕倒,晕厥
活动不利,活动受限
活动限制,活动受限
活动障碍,活动受限
活动后气促,活动后气短
活动耐力减低,活动耐量下降
活动耐力下降,活动耐量下降
活动耐量降低,活动耐量下降
活动耐量进行性下降,活动耐力逐渐下降
记忆力下降,记忆力减退
肩背部痛,肩背部疼痛
肩背疼痛,肩背部疼痛
肩背痛,肩背部疼痛
后背及双肩疼痛,肩背部疼痛
肩部背痛,肩背部疼痛
肩膀背痛,肩背部疼痛
肩痛,肩部疼痛
肩膀痛,肩部疼痛
剑突下痛,剑突下疼痛
绞痛感,绞痛
进行性呼吸困难,呼吸困难进行性加重
精神欠佳,精神差
颈痛,颈部疼痛
颈部疼痛不适,颈部疼痛
颈疼痛,颈部疼痛
咳粉红色泡沫样痰,咳粉红色泡沫痰
粉红色泡沫痰,咳粉红色泡沫痰
咳粉红泡沫痰,咳粉红色泡沫痰
咳黄白痰,黄白痰
黄白粘痰,黄白痰
口周皮肤麻木,口周麻木
流鼻涕,流涕
鼻腔流涕,流涕
鼻腔流液,流涕
流涎,口角流涎
口角流涎发作,口角流涎
漏跳,漏跳感
心搏漏跳,漏跳感
麻木感,麻木
麻木不适,麻木
脉搏不齐,脉律不齐
面色苍白,脸色苍白
尿少,尿量减少
喷嚏,打喷嚏
皮下出血,皮肤紫癜
皮下瘀斑,皮肤瘀斑
疲乏感,疲乏
疲倦,疲乏
疲劳,疲乏
气促,气短
气紧,气短
前胸痛,前胸疼痛
全身酸疼,全身酸痛
全身无力,全身乏力
瘙痒,皮肤瘙痒
上腹不适,上腹部不适
上腹不适症,上腹部不适
上腹部饱胀,上腹胀
上腹疼痛,上腹痛
声嘶,声音嘶哑
食欲差,食欲减退
食欲减低,食欲减退
食欲不振,食欲减退
食欲增加,食欲增强
视物不清,视物模糊
双眼视物不清,视物模糊
视物成双,视物重影
视物有重影现象,视物重影
视物眩转,视物旋转
双侧听力下降,听力下降
双下肢无力,双下肢乏力
下肢乏力,双下肢乏力
下肢无力,双下肢乏力
睡眠打鼾,打鼾
四肢无力,四肢乏力
酸痛不适,酸痛
痰液粘稠不易咳出,痰不易咳出
痰液不易咳出,痰不易咳出
疼痛不适,疼痛
疼痛放射至后背,疼痛放射至背部
疼痛放射至后背部,疼痛放射至背部
疼痛向背部放射,疼痛放射至背部
疼痛向肩背部放射,肩背部放射性痛
肩背部放射痛,肩背部放射性痛
体重下降,体重减轻
头部胀满感,头胀
头昏,头晕
头部头晕,头晕
头疼,头痛
头痛不适,头痛
头部头痛,头痛
头部疼痛,头痛
头颅疼痛,头痛
头疼痛,头痛
下肢肿胀,双下肢水肿
双下肢浮肿,双下肢水肿
双下肢肿,双下肢水肿
双下肢肿胀,双下肢水肿
下肢浮肿,双下肢水肿
下肢水肿,双下肢水肿
小便尿频,尿频
心前区憋闷,心前区憋闷感
心前区闷胀,心前区闷胀感
心前区痛,心前区疼痛
心痛,心前区疼痛
心前区压迫感,心前区压榨感
心前区压迫痛,心前区压榨样疼痛
心跳骤停,心脏骤停
胸背疼痛,胸背痛
胸背部疼痛,胸背痛
后胸背部疼痛,胸背痛
胸憋,胸部憋闷
胸部闷,胸闷
胸骨后痛,胸骨后疼痛
胸骨后压榨性疼痛,胸骨后压榨样疼痛
胸口发紧,胸部紧缩感
胸前区痛,胸前区疼痛
血尿,尿血
肉眼血尿,尿血
压痛,压榨性疼痛
压榨感,压迫感
牙疼,牙痛
咽部发紧感,咽部紧缩感
咽喉紧缩感,咽部紧缩感
咽紧,咽部紧缩感
言语不流利,言语不利
言语含糊不清,言语不清
言语含混,言语不清
腰部疼痛,腰痛
夜间疼痛,夜间痛
夜间痛醒,夜间痛
夜间有憋醒现象,夜间憋醒
夜尿次数增多,夜尿增多
意识不清,意识模糊
右侧颜面麻木,右面部麻木
右侧肢体活动不灵,右侧肢体活动不利
右侧肢体活动无力,右侧肢体无力
右肩痛,右肩部疼痛
晕厥先兆,晕厥前兆
针刺样疼痛,针扎样疼痛
针刺痛,针扎样疼痛
针刺样痛,针扎样疼痛
针扎样痛,针扎样疼痛
肢体不利感,肢体活动不利
肢体活动不灵,肢体活动不利
肢体活动障碍,肢体障碍
左侧胸部闷痛,左胸部闷痛
左侧肢体活动不灵,左侧肢体不利
左侧肢体无力症状,左侧肢体活动无力
左肩背痛,左肩背部疼痛
左侧肩背部疼痛,左肩背部疼痛
左侧肩背痛,左肩背部疼痛
左肩部及后背部疼痛,左肩背部疼痛
左肩痛,左肩部疼痛
左下肢无力,左下肢乏力
左胸痛,左侧胸痛
RBC,血尿
尿红细胞,血尿
尿沉渣计数,血尿
尿量多,多尿
少尿,尿量少
无尿,尿量少
WBC,脓尿
尿糖,血糖升高
空腹血糖,血糖升高
糖筛血糖,血糖升高
OGTT,血糖升高
糖化血红蛋白,血糖升高
总胆红素增高,黄疸
总胆固醇,血脂升高
甘油三酯,血脂升高
RBC降低,贫血